placeName;getty;gnd;long;lat;comment
Mirandola;;4364709-1;11.066200;44.886769;
Mitau;7006473;;23.6667;56.65;
Modena;;4115170-7;10.925390;44.647829;
Moers;;4039916-3;6.632600;51.453420;
Mohrungen;;4101115-6;19.926020;53.917110;
Mollis;;4527550-6;9.07242;47.08878;
Molsheim;7009344;;7.5;48.55;
Monschau;;4040116-9;6.240009;50.554619;
Montargis;;4231911-0;2.750000;48.000000;
Montbéliard;7009347;;6.8;47.5167;
Montepulciano;;4115211-6;11.786839;43.101739;
Montpellier;7009369;;3.8833;43.6;
Montreuil;;4284726-6;1.76348;50.46374;
Moskau;7012974;;37.7;55.75;
Most;7011712;;13.65;50.5167;
Motta di Livenza;;4191783-2;12.602779;45.778060;
Motzlar;;1184521565;9.965249;50.679330;
Mulhouse;7012333;;7.35;47.75;
Möckern;;4338369-5;11.951944;52.140833;
Mönchberg;7135122;;9.55;48.45;
Mühlhausen;7005939;4040466-3;10.4667;51.2167;
Mülhausen;;4040474-2;7.333330;47.750000;
Mülheim am Rhein;7134539;; 7.0167;50.9667;
Münchberg;7135122;;9.55;48.45;
München;7134068;4127793-4;13.4667;48.7000;
Münster;7004445;4040608-8;7.6333;51.9667;
Nancy;7008412;4041201-5;6.2;48.7;
Nantes;7008482;4041204-0;-1.5833;47.2333;
Naples;7004474;;14.25;40.8333;
Naugard;;4102390-0;15.116300;53.674370;
Naumburg (Saale);;4041445-0;11.809722;51.149722;
Neapel;;4041476-0;14.250000;40.833329;
Neiße;1049304;;17.3333;50.5;
Nellingen;;4355634-6;9.790277;48.541944;
Neuburg;;4041719-0;11.186944;48.731944;
Neudamm;1049004;;14.7;52.7167;Tham in der Neumark, Debno
Neuenstadt am Kocher;1040446;;9.3167;49.2333;
Neugrätz;1049615;;16.25;51.8167;bei Wschowa
Neuhaldensleben;;4117825-7;11.409722;52.289166;
Neuhaus;1041113;;8.7167;51.7333;Schloss Neuhaus
Neuhausen (Worms);;4601198-5;8.346669;49.645839;
Neukölln;7122330;;13.4333;52.4667;
Neumarkt i.d. OPf.;;4041837-6;11.462777;49.280277;
Neuruppin;7012848;;12.8167;52.9333;
Neustadt an der Aisch;1040479;;10.6333;49.5833;
Neustadt an der Orla;;4191795-9;11.746111;50.736388;
Neustadt an der Saale;7004416;;10.2;50.3333;
Neustadt an der Weinstraße;7004417;;8.15;49.35;
Newcastle upon Tyne;7012026;;-1.5833;54.9833;
Nidda;;4042163-6;9.006380;50.413299;
Niedermarsberg;1040505;;8.85;51.45;
Niedersachswerfen;;4439815-3;10.766669;51.566670;
Nienburg / Weser;;4042268-9;9.220833;52.646111;
Nijmegen;7031832;;5.8667;51.8333;
Norden;;4042513-7;7.206389;53.595520;
Nordhausen;7012851;4042532-0;10.8;51.5167;
Northeim;;4042636-1;9.999980;51.706620;
Norwich;7012005;;1.3;52.6333;
Noyon;;4042721-3;3.000000;49.583329;
Nîmes;;4117890-7;4.349999;43.833329;
Nördlingen;7012334;4042434-0;10.5167;48.85;
Nürnberg;7004334;4042742-0;11.0667;49.45;
Nürnberg-Wöhrd;;4117951-1;11.09594;49.45423;
Oberglogau;1049040;;17.8333;50.35;
Oberlungwitz;1037409;;12.7167;50.7833;
Obermarchtal;7012622;;9.5833;48.2333;
Obermarsberg;4008094;;8.85;51.4667;
Oberursel;7012626;;8.5833;50.2;
Oedenburg;7010514;;16.5833;47.6667;Sopron
Oels;1049316;;17.35;51.2;
Oettingen in Bayern;7012633;4116730-2;10.6333;48.95;
Offenbach;7012634;;8.7667;50.1;
Ohlau;;4384267-7;17.292600;50.946599;
Ohrdruf;;4211782-3;10.734166;50.828888;
Oldenburg;7004439;4043457-6;8;53;
Oldenswort;;4424571-3;8.939959;54.372430;
Oleśnica;1049316;;17.35;51.2;
Oliva;4008183;;18.5667;54.420949;
Olmütz;;4075643-9;17.251750;49.595520;
Oppenheim;7012639;;8.3667;49.8667;
Orgelet;;4370925-4;5.610490;46.520960;
Orléans;7008337;;1.9;47.9;
Ornans;;4435970-6;6.143060;47.107489;
Oschatz;1037435;;13.1167;51.3;
Oslo;7009573;;10.75;59.9333;
Osnabrück;7005252;4043974-4;8.05;52.2833;
Osterode am Harz;;4044041-2;10.250833;51.726666;
Ottensen;;5030792-7;9.916666;53.549722;
Oudewater;;4354469-1;4.868059;52.024999;
Oxford;7011931;4044234-2;-1.25;51.7667;
Paderborn;;4044283-4;8.754390;51.719050;
Padua;7003085;4044295-0;11.8833;45.4167;
Palma de Mallorca;;4115833-7;2.650240;39.569389;
Parchim;1037464;;11.85;53.4333;
Paris;7008038;4044660-8;2.3333;48.8667;
Passau;7004407;;13.4667;48.5833;
Pavia;;4044970-1;9.161450;45.184460;
Pegau;7012856;;12.25;51.1667;
Pella (Nordgriechenland);;4045057-0;22.519169;40.759999;
Penig;;4285495-7;12.704219;50.933360;
Perleberg;;4269332-9;11.857390;53.075830;
Pescina;;4301157-3;13.651160;42.023510;
Pesing;7011722;;17.25;48.2833;Pezinok
Peuerbach;;4245569-8;13.772050;48.345300;
Pfaffenhofen;7121193;; 11.5347;48.5814;Pfaffenhofen an der Ilm
Pferdingsleben;;4291750-5;10.816670;50.966670;
Pforzheim;7012653;4045637-7;8.7;48.8833;
Piacenza;;4046001-0;9.699370;45.046759;
Piadena;;4247143-6;10.371010;45.128590;
Pienza;7006322;;11.6833;43.0667;
Pilsen;;4076145-9;13.377589;49.747469;
Pilsum;1040740;;7.0667;53.4833;
Piombino;;4383506-5;10.522119;42.934820;
Pirna;;4046147-6;13.937020;50.958429;
Pisa;;4046151-8;10.396589;43.715530;
Pitcairn Islands;7005269;;-130.0833;-25.0667;
Pitschen;7121379;;13.5833;51.8667;
Plauen;;4046334-5;12.137777;50.497222;
Plänitz;;7591300-8;12.406140;52.877830;
Plön;1040743;;10.4333;54.1667;
Porto;7010979;;-8.5833;41.1667;
Portoferraio;7006196;;10.3333;42.8167;
Poschiavo;1064304;;10.0667;46.3167;
Posen;7007756;;16.8833;52.4167;
Potsdam;7004463;4046948-7;13.0667;52.4;
Pottendorf;1025956;;16.3833;47.9167;
Prag;7006464;4076310-9;14.4333;50.1;
Prato;7006161;;11.1;43.8833;
Preßburg;7006465;;17.1667;48.1667;
Priorau;;1063686539;12.282777;51.732500;
Pruntrut;7007445;;7.1;47.4167;
Pyrmont;7005480;;9.2667;51.9833;
Quedlinburg;7012857;4048035-5;11.15;51.8;
Radeburg;1037550;;13.7333;51.2167;
Ragnitz;;4997378-2;15.592779;46.836669;
Raków;;4460386-1;21.045000;50.674166;
Rappoltsweiler;;4420082-1;7.319379;48.195099;
Rathenow;;4104905-6;12.336959;52.606589;
Ratzeburg;7012665;;10.7667;53.7;
Ravensburg;7005184;;9.6167;47.7833;
Rawicz;1049413;;16.85;51.6333;
Recklinghausen;;4048864-0;7.197222;51.613611;
Rees;1040842;;6.4;51.7667;
Regensburg;7013496;4048989-9;12.1;49.0167;
Reichenbach im Vogtland;;4278871-7;12.303333;50.622777;
Remlingen;7111296; 4502271-9;10.6667;52.1167;
Rendsburg;;4049461-5;9.663130;54.306629;
Rethimnon;;4274296-1;24.471389;35.364719;
Reutlingen;7012674;;9.2167;48.5;
Reval;7006629;;24.728;59.433;
Rheinberg;;4049744-6;6.595240;51.546489;
Riga;;4050042-1;24.105889;56.945999;
Rijssel;;7683719-1;5.161059;51.047989;
Rinteln;1040922;4050107-3;9.0667;52.1833;
Riva del Garda;;4192166-5;10.84117;45.88577;
Rochlitz;;4050226-0;12.797539;51.050069;
Roermond;7006856;;6;51.2;
Rom;7000874;4050471-2;12.5;41.8833;
Rorschach;7007453;;9.5;47.4667;
Rosenheim;;4050554-6;12.122469;47.856369;
Rostock;7004717;4050610-1;12.15;54.1;
Rothenberg;7102204;;11.366667;49.55;
Rothenburg ob der Tauber;7005188;;10.2167;49.3833;
Rotterdam;7006792;4050739-7;4.4833;51.9167;
Rottleben;;1112611835;11.050000;51.366669;
Rottweil;7012685;;8.6167;48.1667;
Rouen;7008929;4050751-8;1.0833;49.4333;
Roßwein;;4305326-9;13.183080;51.065890;
Rudolstadt;7012862;4105066-6;11.3333;50.7167;
Rufach;;4105093-9;7.300160;47.957859;
Ruine Liebeneck;7138158;;11.366667;49.033333;
Runkel;;4051003-7;8.154569;50.405740;
Römhild;7012861;;10.55;50.3833;
Rügenwalde;;4105080-0;16.410699;54.420949;
Saalfeld;7012864;4051087-6;11.3667;50.65;
Sagan;;4234600-9;15.314859;51.617589;
Saint Petersburg;7010273;;30.25;59.8833;
Saint-Martin-du-Frêne;;1126056723;5.552500;46.138888;
Saldus;;1048044599;22.488055;56.663611;
Salerno;;4051362-2;14.765990;40.677970;
Salzburg;7003256;4076982-3;13.05;47.8;
Salzderhelden;;4445440-5;9.916940;51.798430;
Salzwedel;;4105266-3;11.152499;52.854349;
Sandomierz;;4378952-3;21.748979;50.682650;
Sangerhausen;;4051574-6;11.295329;51.472209;
Sankt Gallen;;4051594-1;9.374722;47.423888;
Sankt Hubert;1041029;;6.45;51.3833;
Saragossa;7008813;;-.9;41.65;
Saumur;;4051828-0;-0.083330;47.266669;
Schaffhausen;;4051993-4;8.634722;47.697222;
Schiedam;7006800;;4.4167;51.9167;
Schkeuditz;;4364737-6;12.221410;51.396779;
Schlanstedt;;7641182-5;11.030960;52.012250;
Schleid-Motzlar;;7708544-9;9.965249;50.679330;
Schleiden;;4315285-5;6.476666;50.528888;
Schleiz;1037680;;11.8167;50.5667;
Schleswig;7012700;4052689-6;9.55;54.5167;
Schlettstadt;;4052703-7;7.450000;48.266669;
Schleusingen;1037684;4052708-6;10.7667;50.5167;
Schlichtingsheim;1049522;;16.2667;51.7167;
Schmalkalden;;4052793-1;10.443860;50.721359;
Schmiedeberg;;;15.836314960570819;50.7924294 ;Schmiedeberg im Riesengebirge, heute Kowary
Schneeberg;;4052988-5;12.641389;50.594650;
Schorndorf;;4053210-0;9.526944;48.805277;
Schwabach;7012909;4053665-8;11.0333;49.3333;
Schwabegg;7093743;; 10.6833; 48.1833;
Schweidnitz;7007556;;16.4833;50.25;
Schweinfurt;;4053863-1;10.221750;50.049370;
Schwelm;;4053923-4;7.293879;51.286349;
Schwerin;;4053950-7;11.413159;53.629370;
Schwyz;7007465;;8.65;47.0333;
Schwäbisch Gmünd;7012707;;9.7833;48.8;
Schwäbisch Hall;7012708;4053684-1;9.7333;49.1;
Schöningen (Landkreis Helmstedt);;4106620-0;10.967449;52.138019;
Sedan;7009674;4054074-1;4.95;49.7;
Seebergen (Drei Gleichen);;5268082-4;10.799166;50.920833;
Semur-en-Auxois;;4118583-3;4.333330;47.483330;
Sens;7008255;;3.3;48.2;
Sevilla;;4054671-8;-5.976130;37.382410;
Shkodër;;4325862-1;19.512579;42.068280;
Siegen;7012712;4054883-1;8.0333;50.8667;
Siena;7011179;4054903-3;11.3167;43.3167;
Soest;;4055374-7;8.106189;51.575580;
Solothurn;7007295;;7.5333;47.2167;
Sommerhausen;7099322;;10.0333;49.7000;
Sondershausen;1037748;4055548-3;10.8667;51.3667;
Sora;;4447008-3;13.614100;41.715719;
Sorau;;64338-5;15.137222;51.641944;
Sorø;7003597;;11.5667;55.4333;
Spandau;7097050;4069319-3;13.199210;52.551099;
Spangenberg;;4130043-9;9.662699;51.116439;
Sparenberg;7097006;;8.3667; 47.7833;
Speyer;7012341;4056179-3;8.4333;49.3167;
Squillace;;4385748-6;16.512200;38.779479;
St. Gallen;1026021;;14.6167;47.6833;
Stade;1041281;;9.4667;53.6;
Stadtamhof;4010711;;12.1167;49.0333;
Stadthagen;7005478;;9.2167;52.3167;
Stadtlohn;;4056746-1;6.919179;51.993989;
Stadtsteinach;;4105539-1;11.503333;50.164166;
Stagira;;4823144-7;23.75159;40.53042;
Stargard in Pommern;7007797;5057076-6;18.5;53.9667;
Steinau an der Oder;1048843;;16.4167;51.4333;
Steinfurt;1041314;;7.35;52.15;
Steinheim (Kreis Höxter);;4057182-8;9.091359;51.870660;
Stendal;7012875;4057260-2;11.85;52.6;
Stettin;;4057392-8;14.552777;53.428888;
Steyr;7003303;;14.4167;48.0667;
Stockholm;7009861;4057648-6;18.0833;59.3333;
Stolberg;;4118832-9;10.955555;51.574166;
Stolp;7067268;;12.9000;52.4833;
Stralsund;7004718;4057860-4;13.1;54.3;
Straubing;7004413;;12.5833;48.8833;
Strausberg;;4245400-1;13.887409;52.578589;
Straßburg;7012346;4057878-1;7.75;48.5833;
Striegnitz;;7679560-3;13.283670;51.224580;
Strängnäs;7009862;;17.0333;59.3833;
Stuttgart;7004425;4058282-6;9.2;48.7833;
Sulechów;1049505;;15.6167;52.1;
Sulz am Neckar;;4374010-8;8.633055;48.362222;
Sulzbach;7072465;;9.159167;49.910833;
Sulzbach-Rosenberg;7004409;4078064-8;11.7667;49.5;
Szczecin;7007809;;14.5333;53.4167;
Szegedin;7010516;;20.15;46.25;
Świdnica;;4053841-2;16.488589;50.843780;
Tagliacozzo;;4301158-5;13.254690;42.069330;
Talcy, Château de;1100356;;1.45;47.7667;
Tallinn;7006629;;24.728;59.433;
Tapia de Casariego;7297207;;-6.95;43.566667;
Tarragona;7008715;;1.25;41.1167;
Tecklenburg;1041392;;7.8333;52.2167;
Tegernsee;7004693;;11.7667;47.7;
Thann;7009500;;7.0833;47.8167;
Themar;;4365202-5;10.615360;50.504649;
Thorn;;4059950-4;18.598140;53.013750;
Thurnau;1041418;;11.4;50.0167;
Tiel;7006875;;5.4333;51.8833;
Toledo;;4078343-1;-4.022630;39.858100;
Tolentino;;4336897-9;13.290079;43.212550;
Torgau;;4060446-9;12.996169;51.560160;
Tortona;7005603;;8.8667;44.9;
Toruń;7007831;4059950-4;18.5833;53.0167;
Toul;7009506;;5.9;48.6833;
Toulouse;;4060518-8;1.443670;43.604259;
Tournon-sur-Rhône;;4106548-7;6.302439;45.642049;
Treuenbrietzen;;4298959-0;12.872579;52.097540;
Trient;7005128;;11.133;46.066;
Trier;7004447;;6.65;49.75;
Trnava;7011810;;17.5833;48.3833;
Troyes;7008350;;4.0833;48.3;
Trumpington;7024822;;0.1167;52.1833;
Trévoux;7009510;;4.7667;45.95;
Tunbridge Wells;7011676;;0.2667;51.1333;
Turin;7005688;4061245-4;7.6667;45.0667;
Tyrnau;7011810;;17.5833;48.3833;
Töss;;4355064-2;8.70215;47.4789;
Tübingen;7004426;4061147-4;9.05;48.5333;
Udine;7005139;4117272-3;13.2333;46.0667;
Uelsen;7005313;4354804-0;10.5667;52.9667;
Uelzen;7005313;;10.5667;52.9667;
Ulm;7005187;4061529-7;10;48.4;
Uppsala;7009867;4078659-6;17.6333;59.9167;
Uranienborg;7009875;;12.6782824;55.9057932;
Urbino;;4119316-7;12.636329;43.726210;
Uri;7003761;;8.6667;46.8333;
Ursberg;;4117308-9;10.445940;48.264279;
Utrecht;7006926;4062222-8;5.1167;52.1;
Vaihingen an der Enz;;4062257-5;8.960277;48.935555;
Valdorf;1041520;;8.85;52.15;
Valencia;;4062284-8;-0.377222;39.469722;
Venedig;7018159;4062501-1;12.3333;45.4333;
Verona;7003262;4063110-2;11;45.4333;
Vézelay;;4063430-9;3.74559;47.46572;
Vianen;7006907;;5.0833;52;
Vicenza;;4063445-0;11.540900;45.557290;
Vienne;7008589;;4.9;45.5333;
Villingen im Schwarzwald;;4063544-2;8.456666;48.059722;
Vilnius;7006521;;25.3167;54.6833;
Visingsborg;1009653;;14.33750;58.04777;
Viterbo;;4119454-8;12.108560;42.417830;
Vlissingen;7006750;;3.5833;51.45;
Vlotho;1041563;;8.85;52.1667;
Waiblingen;;4064328-1;9.316409;48.832410;
Walcourt;;4747460-9;4.437960;50.254010;
Waldenburg (Landkreis Zwickau);;4439683-1;12.599199;50.876530;
Walkersbrunn;;4118968-1;11.209139;49.653900;
Waltershausen;;4064494-7;10.557909;50.898269;
Wandsbek;7005957;;10.0667;53.5667;
Wangen im Allgäu;;4064555-1;9.832222;47.689444;
Warburg;7012758;;9.1667;51.5;
Warendorf;;4064587-3;7.987560;51.951090;
Warschau;;4079048-4;21.011780;52.229770;
Warstein;7012759;;8.3667;51.45;
Wedel;1041687;;9.7167;53.5833;
Weida;1037943;4119012-9;12.060280;50.774490;
Weiden;7086205;;11.233333;50.033333;
Weil der Stadt;;4065086-8;8.871760;48.749530;
Weimar;7012886;4065105-8;11.3167;50.9833;
Weingarten;;4065156-3;9.638611;47.810000;
Weinheim;1041717;;8.6833;49.5167;
Weinsberg;;4065180-0;9.287620;49.151279;
Weißenburg (Elsass);;4079134-8;7.945555;49.036944;
Weißenfels;7085364;;12.073889;51.194722;
Weißenstadt;;4065251-8;11.888489;50.102170;
Wemding;;4065484-9;10.724520;48.874609;
Wermelskirchen-Dabringhausen;;4541390-3;7.190000;51.090519;
Wernigerode;7012889;;10.7833;51.8333;
Wertheim;;4065663-9;9.508520;49.759000;
Wesel;7005168;4065697-4;6.6167;51.6667;
Wettingen;7007496;;8.3333;47.4667;
Wetzlar;7012774;;8.5;50.55;
Wien;7003321;4066009-6;16.3667;48.2167;
Wiener Neustadt;7003181;4066023-0;16.25;47.8167;
Wiesendangen;8709666;;8.7900;47.5222;
Wildberg;1041824;;8.75;48.6333;
Wildhaus;;4119117-1;9.353888;47.205833;
Wildschütz;7084272;;12.0667;51.1167;
Wilhermsdorf;7083578;;10.716667;49.483333;
Windsheim;7012382;;10.45;49.5;
Winnenden;;4066313-9;9.398189;48.875630;
Winterthur;;4066337-1;8.723888;47.505555;
Wismar;7004719;;11.4667;53.9;
Wittenberg;7078542;4066640-2;12.649729;51.866100;
Wittenberg-Kropstädt;1037122;4738788-9;12.745499;51.963070;
Wittmund;;4108467-6;7.778389;53.576740;
Wohlau;;4066727-3;16.644290;51.336559;
Wolfenbüttel;7005253;4066832-0;10.55;52.1667;
Wolgast;1038016;;13.7667;54.05;
Wollin (Landkreis Usedom-Wollin);;113224-6;14.614444;53.841944;
Worcester;;4119169-9;-2.220009;52.189349;
Wormerveer;1048257;;4.7833;52.5;
Worms;7005108;;8.35;49.6333;
Wunsiedel;1041888;;12.0167;50.0333;
Würzburg;7004335;4067037-5;9.9333;49.8;
York;7011995;;-1.0833;53.9667;
Zagań;1048861;;15.3333;51.6167;
Zamora;;4216370-5;-5.744559;41.506329;
Zandvoort;1048265;;4.5167;52.3667;
Zaragoza;;4079463-5;-0.877340;41.656059;
Zasław;;7532399-0;22.257419;49.525329;
Zeitz;7012351;4067525-7;12.15;51.05;
Zellerfeld;7005931;;10.3333;51.8;
Zerbst;7012892;;12.0833;51.9667;
Zierikzee;7030107;;3.916;51.65;
Zittau;7017177;;14.75;50.9;
Zschopau;;4109065-2;13.076909;50.748179;
Zug;7007544;;8.5167;47.1667;
Zutphen;;4119265-5;6.201389;52.138330;
Zweibrücken;7012352;;7.3667;49.25;
Zwettl;7003169;;15.1667;48.6167;
Zwickau;7012354;4068262-6;12.5;50.7333;
Zwolle;7007077;;6.1;52.5167;
Züllichau;;4119257-6;15.625130;52.083620;
Zürich;7007302;4068038-1;8.55;47.3833;
Öhringen;7005183;;9.5;49.2;
Überlingen;7012359;;9.1667;47.7667;
Šibenik;;4387004-1;15.905829;43.727220;
Żary;;4333557-3;15.137222;51.641944;
